run_id,session_id,task_id,kind,outcome,start_utc,end_utc,steps,tool_calls,api_attempts,failed_attempts,prompt_tokens,cached_tokens,completion_tokens,cost_usd,waste_tokens,waste_usd,repeat_calls,no_new_info,tool_errors,retry_storms,truncated
20260919_160105_511fb0#outside_repo#0,20260919_160105_511fb0,,outside_repo,n/a,2026-09-19T09:02:07.029Z,2026-09-20T10:27:08.074Z,16,21,30,12,113105,169856,7722,0,11782,0,1,1,2,1,0
20260920_190518_557f99#outside_repo#0,20260920_190518_557f99,,outside_repo,n/a,2026-09-20T12:06:22.176Z,2026-09-20T12:16:36.780Z,20,47,53,22,496480,626432,22485,0,24794,0,0,0,5,2,0
20260920_195323_f06223#overhead#0,20260920_195323_f06223,,overhead,n/a,2026-09-20T12:53:36.055Z,2026-09-20T12:53:47.881Z,3,2,7,2,74840,128,638,0,0,0,0,0,0,0,0
20260920_200011_5d99b9#outside_repo#0,20260920_200011_5d99b9,,outside_repo,n/a,2026-09-20T13:01:56.588Z,2026-09-20T14:34:43.666Z,81,78,111,17,1107516,3529570,41942,0,0,0,0,0,10,1,0
20260920_232743_de8fa8#overhead#0,20260920_232743_de8fa8,,overhead,n/a,2026-09-20T16:27:55.099Z,2026-09-20T19:17:55.039Z,92,49,282,98,2180454,6799605,77865,0,70328,0,1,0,0,13,0
20260921_020739_7d5d4e#overhead#0,20260921_020739_7d5d4e,,overhead,n/a,2026-09-20T19:08:05.704Z,2026-09-20T19:10:03.253Z,9,18,22,13,111282,132736,2392,0,1781,0,0,0,1,2,0
20260921_092736_806ee3#overhead#0,20260921_092736_806ee3,,overhead,n/a,2026-09-21T02:27:56.432Z,2026-09-21T03:54:20.869Z,86,79,147,8,1571578,5114956,62212,0,123070,0,1,0,4,1,0
20260921_105428_88bf85#overhead#0,20260921_105428_88bf85,,overhead,n/a,2026-09-21T03:54:29.316Z,2026-09-21T08:33:07.011Z,176,177,380,105,5734259,13746617,124188,0,290610,0,6,0,23,8,0
20260921_130430_91b7b2#overhead#0,20260921_130430_91b7b2,,overhead,n/a,2026-09-21T06:04:44.860Z,2026-09-21T06:07:26.386Z,13,12,15,0,88469,271876,2899,0,0,0,0,0,5,0,0
20260921_135701_f9e505#overhead#0,20260921_135701_f9e505,,overhead,n/a,2026-09-21T06:58:46.664Z,2026-09-21T08:31:25.826Z,106,100,225,95,1195306,7548053,75278,0,216134,0,3,2,12,5,0
20260921_152437_aaf661#overhead#0,20260921_152437_aaf661,,overhead,n/a,2026-09-21T08:24:51.366Z,2026-09-22T04:56:09.296Z,254,238,345,16,6003641,35304039,167567,0,877047,0,15,7,20,1,0
20260922_115727_5e19e1#overhead#0,20260922_115727_5e19e1,,overhead,n/a,2026-09-22T04:57:49.242Z,2026-09-22T10:54:40.227Z,124,183,230,76,3681097,11313363,78640,0,256499,0,5,0,12,9,0
20260922_165439_377802#overhead#0,20260922_165439_377802,,overhead,n/a,2026-09-22T09:55:10.718Z,2026-09-22T09:55:22.471Z,2,1,3,0,34839,16249,922,0,0,0,0,0,0,0,0
20260922_195050_1a270c#overhead#0,20260922_195050_1a270c,,overhead,n/a,2026-09-22T12:51:04.167Z,2026-09-22T13:16:32.953Z,60,57,94,2,669395,4329187,68402,0,121431,0,1,0,6,0,0
20260922_202736_3850e9#overhead#0,20260922_202736_3850e9,,overhead,n/a,2026-09-22T13:27:49.237Z,2026-09-22T21:49:07.752Z,192,220,257,4,4966983,24198587,114899,0,264878,0,6,0,5,0,0
20260923_182427_700975#overhead#0,20260923_182427_700975,,overhead,n/a,2026-09-23T11:27:00.223Z,2026-09-23T11:27:05.961Z,1,0,12,10,18786,0,74,0,0,0,0,0,0,1,0
