task_id,status,attempts,verdicts,outcome,runs,first_activity_utc,last_activity_utc,claimed_start_utc,claimed_end_utc,claim_matches_activity,tokens,cost_usd,waste_tokens,waste_usd
PSI-001,done,0,,unverified,1,2026-09-24T14:27:31.852Z,2026-09-25T02:05:07.081Z,,,,8991697,0.656701,1887500,0.328909
PSI-002,done,0,,unverified,1,2026-09-25T02:11:33.315Z,2026-09-25T02:24:26.337Z,,,,6999912,0,251664,0
PSI-004,done,1,unverified,unverified,1,2026-09-24T11:43:40.382Z,2026-09-24T14:27:31.852Z,2026-09-24T18:30:00Z,2026-09-24T18:50:00Z,false,6581451,0.519633,1389097,0.225422
PSI-007,done,1,pass,success,0,,,2026-09-25T06:10:00Z,2026-09-25T06:30:00Z,,0,0,0,0
PSI-009,done,1,pass,success,0,,,2026-09-25T12:30:00Z,2026-09-25T12:55:00Z,,0,0,0,0
PSI-010,done,2,pass|pass,success,0,,,2026-09-25T09:15:00Z,2026-09-25T09:35:00Z,,0,0,0,0
PSI-012,done,1,unverified,unverified,0,,,2026-09-25T08:00:00Z,2026-09-25T08:15:00Z,,0,0,0,0
PSI-013,done,1,pass,success,0,,,2026-09-25T09:47:00Z,2026-09-25T10:05:00Z,,0,0,0,0
PSI-014,done,1,pass,success,0,,,2026-09-25T10:10:00Z,2026-09-25T10:30:00Z,,0,0,0,0
PSI-015,done,1,pass,success,0,,,2026-09-25T10:35:00Z,2026-09-25T11:10:00Z,,0,0,0,0
PSI-016,done,1,pass,success,0,,,2026-09-25T13:30:00Z,2026-09-25T13:55:00Z,,0,0,0,0
PSI-017,done,1,pass,success,0,,,2026-09-25T14:00:00Z,2026-09-25T14:25:00Z,,0,0,0,0
PSI-018,done,1,pass,success,0,,,2026-09-25T14:30:00Z,2026-09-25T14:55:00Z,,0,0,0,0
PSI-019,done,1,pass,success,0,,,2026-09-25T15:00:00Z,2026-09-25T15:30:00Z,,0,0,0,0
PSI-020,done,1,pass,success,0,,,2026-09-26T02:00:00Z,2026-09-26T02:25:00Z,,0,0,0,0
PSI-021,done,1,pass,success,0,,,2026-09-26T02:30:00Z,2026-09-26T02:50:00Z,,0,0,0,0
PSI-022,done,1,pass,success,0,,,2026-09-26T03:00:00Z,2026-09-26T03:30:00Z,,0,0,0,0
PSI-023,done,1,pass,success,0,,,2026-09-26T03:30:00Z,2026-09-26T03:55:00Z,,0,0,0,0
PSI-024,done,1,pass,success,0,,,2026-09-26T04:00:00Z,2026-09-26T04:30:00Z,,0,0,0,0
PSI-030,done,1,pass,success,0,,,2026-09-26T04:30:00Z,2026-09-26T04:55:00Z,,0,0,0,0
PSI-034,done,1,pass,success,0,,,2026-09-26T05:00:00Z,2026-09-26T05:25:00Z,,0,0,0,0
PSI-040,done,1,pass,success,0,,,2026-09-26T05:30:00Z,2026-09-26T05:55:00Z,,0,0,0,0
PSI-041,done,1,pass,success,0,,,2026-09-26T06:00:00Z,2026-09-26T06:25:00Z,,0,0,0,0
PSI-044,done,1,pass,success,0,,,2026-09-26T06:30:00Z,2026-09-26T06:55:00Z,,0,0,0,0
PSI-050,done,1,pass,success,1,2026-09-26T04:12:52.011Z,2026-09-26T04:22:01.581Z,2026-09-26T07:00:00Z,2026-09-26T07:25:00Z,false,3781819,0,0,0
PSI-051,done,1,pass,success,1,2026-09-26T04:22:09.927Z,2026-09-26T05:09:38.894Z,2026-09-26T07:30:00Z,2026-09-26T07:55:00Z,false,8280360,0,0,0
PSI-052,done,1,pass,success,1,2026-09-26T05:11:12.824Z,2026-09-26T05:45:09.846Z,2026-09-26T08:00:00Z,2026-09-26T08:20:00Z,false,5852682,0,0,0
PSI-053,done,1,pass,success,1,2026-09-26T05:45:21.979Z,2026-09-26T08:23:44.978Z,2026-09-26T08:30:00Z,2026-09-26T08:50:00Z,false,8837347,0,0,0
PSI-060,blocked,0,,failed,1,2026-09-26T09:44:13.060Z,2026-09-26T10:03:51.388Z,,,,2005098,0.401457,2005098,0.401457
PSI-061,done,1,pass,success,2,2026-09-26T08:58:27.852Z,2026-09-26T10:25:31.699Z,2026-09-26T09:00:00Z,2026-09-26T09:40:00Z,true,14992968,1.557957,4848360,0.607457
PSI-067,done,1,pass,success,1,2026-09-26T10:26:04.781Z,2026-09-26T13:50:33.606Z,2026-09-26T10:10:00Z,2026-09-26T10:45:00Z,true,35102904,2.411982,10601987,0.875727
PSI-070,done,1,pass,success,1,2026-09-26T13:51:02.170Z,2026-09-26T14:46:57.703Z,2026-09-26T12:50:00Z,2026-09-26T13:30:00Z,false,17713395,0.684811,8275826,0.507515
